propiedad,comuna,valor_tasador,valor_worker,valor_db,valor_crm,diferencia_absoluta,diferencia_porcentual
"6a749e24-b2a2-490b-896f-5347f8657fcb","Yumbel",75840000,75840000,75840000,75840000,0,0.00%
"55017df4-e557-4f9a-8c37-9dbf2fa4f796","Quillón",270580000,270580000,270580000,270580000,0,0.00%
"e839fc10-5538-431e-9415-f900c5956cdf","Florida",134550000,134550000,134550000,134550000,0,0.00%
"dec71129-7d16-4bca-a1d8-bf508f4297fb","Nacimiento",31600000,31600000,31600000,31600000,0,0.00%
"d17473c4-eef0-4757-a9bc-fec8229347b4","Negrete",69000000,69000000,69000000,69000000,0,0.00%
"1bbe3e83-f464-48b1-8689-1201b2082cda","Pucón",72450000,72450000,72450000,72450000,0,0.00%
"8118c042-975d-4933-8a2a-15ac053a3c34","Ñipas",18000000,18000000,18000000,18000000,0,0.00%
"dd042326-25d0-452a-b222-2172162aa0a1","Florida",114200000,114200000,114200000,114200000,0,0.00%
"5833f5eb-2a52-4639-a7b4-2d2887b7681f","Pemuco",92480000,92480000,92480000,92480000,0,0.00%
"7576efac-7eb6-4049-8185-e148357e8bfd","Nacimiento",58460000,58460000,58460000,58460000,0,0.00%
"86685702-d6b7-431a-883e-a614ef9a5e15","Negrete",69000000,69000000,69000000,69000000,0,0.00%
"8ef15268-1ca3-48e0-8bc1-2969e1092553","Quillón",47400000,47400000,47400000,47400000,0,0.00%
"023b9e7d-0561-4f95-a5f8-c2dae6c85f1c","Quillón",61230000,61230000,61230000,61230000,0,0.00%
"14d670f4-70ca-4706-ab78-47a7c0f4a619","Yumbel",39500000,39500000,39500000,39500000,0,0.00%
"3638ed74-44ac-4337-8dde-6bef4adc3803","Quillón",70500000,70500000,70500000,70500000,0,0.00%
"c4a50080-d99a-436a-a6a9-9700df30d708","Yumbel",152470000,152470000,152470000,152470000,0,0.00%
"2a32a70d-c7f8-4eb9-8f79-c8f76151f87f","Nacimiento",31600000,31600000,31600000,31600000,0,0.00%
"86fc06ab-2a4c-427b-9d81-13db9d6177d7","Nacimiento",31600000,31600000,31600000,31600000,0,0.00%
"f1410d68-a629-49e7-972e-bb45ce687946","Florida",69000000,69000000,69000000,69000000,0,0.00%
"c28641d2-3dc7-4ef0-9a75-d9c990de3354","Yumbel",55300000,55300000,55300000,55300000,0,0.00%
"3377f828-c9ed-4d54-a13b-4c0fd58c87cb","Yumbel",159190000,159190000,159190000,159190000,0,0.00%
"afb09c54-ec1f-4202-8379-3c5c5038ce3a","Florida",69290000,69290000,69290000,69290000,0,0.00%
"fd811fd7-4f7b-4279-8dcf-32b33346d75c","Florida",41790000,41790000,41790000,41790000,0,0.00%
"78172e87-c1d1-4c94-b2b5-93ceafbf5fed","Nacimiento",31600000,31600000,31600000,31600000,0,0.00%
"c981f721-21b8-48ab-9ad8-5e1fa7e64e86","Florida",125580000,125580000,125580000,125580000,0,0.00%
"00693890-da5e-4897-931e-c178ecd2edef","Florida",27370000,27370000,27370000,27370000,0,0.00%
"093355bf-dd05-4579-a3ad-b4d3d6f5cf0e","Florida",93840000,93840000,93840000,93840000,0,0.00%
