propiedad_id,comuna,superficie,valor_actual,nuevo_valor,diferencia_absoluta,diferencia_porcentual,valor_m2,confianza,version_motor
"8118c042-975d-4933-8a2a-15ac053a3c34","Ñipas",5000,25000000,19290000,5710000,-22.84%,3858,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"55017df4-e557-4f9a-8c37-9dbf2fa4f796","Quillón",100000,120000000,149690000,29690000,24.74%,1497,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"6a749e24-b2a2-490b-896f-5347f8657fcb","Yumbel",10700,36720000,21130000,15590000,-42.46%,1975,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"e839fc10-5538-431e-9415-f900c5956cdf","Florida",11000,150000000,37760000,112240000,-74.83%,3433,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"dec71129-7d16-4bca-a1d8-bf508f4297fb","Nacimiento",5000,6690000,8650000,1960000,29.30%,1730,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"d17473c4-eef0-4757-a9bc-fec8229347b4","Negrete",5000,36200000,18880000,17320000,-47.85%,3776,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"1bbe3e83-f464-48b1-8689-1201b2082cda","Pucón",5000,180000000,17240000,162760000,-90.42%,3448,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"dd042326-25d0-452a-b222-2172162aa0a1","Florida",8700,42640000,31250000,11390000,-26.71%,3592,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"5833f5eb-2a52-4639-a7b4-2d2887b7681f","Pemuco",100000,98000000,51160000,46840000,-47.80%,512,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"7576efac-7eb6-4049-8185-e148357e8bfd","Nacimiento",10000,14900000,16000000,1100000,7.38%,1600,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"86685702-d6b7-431a-883e-a614ef9a5e15","Negrete",5000,28900000,18880000,10020000,-34.67%,3776,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"8ef15268-1ca3-48e0-8bc1-2969e1092553","Quillón",6000,10000000,12970000,2970000,29.70%,2162,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"023b9e7d-0561-4f95-a5f8-c2dae6c85f1c","Quillón",8000,13500000,16750000,3250000,24.07%,2094,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"14d670f4-70ca-4706-ab78-47a7c0f4a619","Yumbel",5000,31100000,10810000,20290000,-65.24%,2162,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"3638ed74-44ac-4337-8dde-6bef4adc3803","Quillón",5000,26300000,19290000,7010000,-26.65%,3858,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"c4a50080-d99a-436a-a6a9-9700df30d708","Yumbel",40200,50480000,68950000,18470000,36.59%,1715,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"2a32a70d-c7f8-4eb9-8f79-c8f76151f87f","Nacimiento",5000,13658000,8650000,5008000,-36.67%,1730,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"86fc06ab-2a4c-427b-9d81-13db9d6177d7","Nacimiento",5000,9578000,8650000,928000,-9.69%,1730,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"f1410d68-a629-49e7-972e-bb45ce687946","Florida",5000,24360000,18880000,5480000,-22.50%,3776,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
"c28641d2-3dc7-4ef0-9a75-d9c990de3354","Yumbel",7000,24980000,13160000,11820000,-47.32%,1880,"nipas-anchor-v1","tpl-land-engine-v2.3-unified"
