ID,Comuna,Superficie,Publicado,Tasador V231,Diferencia $,Diferencia %,M2 Pub,M2 Tas,Ciudad Principal,Dist Ciudad km,Tiempo Ciudad min,Cabecera Comunal,Dist Comuna km,Tiempo Comuna min,Turismo,Indice Comercial
00693890-da5e-4897-931e-c178ecd2edef,Florida,5030,35000000,23250000,-11750000,-33.57,6958,4622,Gran Concepción,29.2,35,Florida,11.0,17,sin_categoria,58
55017df4-e557-4f9a-8c37-9dbf2fa4f796,Quillón,100000,120000000,259520000,139520000,116.27,1200,2595,Conurbación Chillán–Chillán Viejo,45.0,54,Quillón,10.4,16,regional,78
e839fc10-5538-431e-9415-f900c5956cdf,Florida,11000,150000000,43530000,-106470000,-70.98,13636,3957,Gran Concepción,25.5,31,Florida,9.8,15,sin_categoria,78
dec71129-7d16-4bca-a1d8-bf508f4297fb,Nacimiento,5000,6690000,13550000,6860000,102.54,1338,2710,Los Ángeles,53.2,64,Nacimiento,25.4,38,sin_categoria,40
dd042326-25d0-452a-b222-2172162aa0a1,Florida,8700,42640000,36010000,-6630000,-15.55,4901,4139,Gran Concepción,25.6,31,Florida,9.7,14,sin_categoria,68
d17473c4-eef0-4757-a9bc-fec8229347b4,Negrete,5000,36200000,21760000,-14440000,-39.89,7240,4352,Los Ángeles,27.3,33,Negrete,9.5,14,sin_categoria,68
5833f5eb-2a52-4639-a7b4-2d2887b7681f,Pemuco,100000,98000000,179590000,81590000,83.26,980,1796,Conurbación Chillán–Chillán Viejo,60.9,73,Pemuco,39.9,60,sin_categoria,50
7576efac-7eb6-4049-8185-e148357e8bfd,Nacimiento,10000,14900000,26140000,11240000,75.44,1490,2614,Los Ángeles,52.8,63,Nacimiento,25.0,37,sin_categoria,50
86685702-d6b7-431a-883e-a614ef9a5e15,Negrete,5000,28900000,21760000,-7140000,-24.71,5780,4352,Los Ángeles,27.3,33,Negrete,9.5,14,sin_categoria,68
8ef15268-1ca3-48e0-8bc1-2969e1092553,Quillón,6000,10000000,25560000,15560000,155.60,1667,4260,Conurbación Chillán–Chillán Viejo,44.7,54,Quillón,10.0,15,regional,78
023b9e7d-0561-4f95-a5f8-c2dae6c85f1c,Quillón,8000,13500000,30360000,16860000,124.89,1688,3795,Conurbación Chillán–Chillán Viejo,45.0,54,Quillón,10.3,15,regional,78
1bbe3e83-f464-48b1-8689-1201b2082cda,Pucón,5000,180000000,91340000,-88660000,-49.26,36000,18268,Eje Lacustre Villarrica–Pucón,37.3,45,Pucón,15.0,23,nacional,78
14d670f4-70ca-4706-ab78-47a7c0f4a619,Yumbel,5000,31100000,16330000,-14770000,-47.49,6220,3266,Los Ángeles,40.5,49,Yumbel,13.9,21,sin_categoria,58
3638ed74-44ac-4337-8dde-6bef4adc3803,Quillón,5000,26300000,25430000,-870000,-3.31,5260,5086,Conurbación Chillán–Chillán Viejo,37.6,45,Quillón,3.0,5,regional,78
c4a50080-d99a-436a-a6a9-9700df30d708,Yumbel,40200,50480000,99140000,48660000,96.39,1256,2466,Los Ángeles,40.8,49,Yumbel,14.2,21,sin_categoria,68
2a32a70d-c7f8-4eb9-8f79-c8f76151f87f,Nacimiento,5000,13658000,17470000,3812000,27.91,2732,3494,Los Ángeles,34.7,42,Nacimiento,15.8,24,sin_categoria,58
86fc06ab-2a4c-427b-9d81-13db9d6177d7,Nacimiento,5000,9578000,14130000,4552000,47.53,1916,2826,Los Ángeles,52.8,63,Nacimiento,25.0,38,sin_categoria,40
